Plant Name,Location,Date Acquired,Watering Frequency (days),Sunlight Needs,Weather
Rose,Balcony,1/8/2026,3,🌤️High,☁️ Cloudy
Aloe Vera,Bedroom,3/8/2026,10,🌤️High,☁️ Cloudy
Snake Plant,Living room,5/8/2026,14,🌥️ Low,🌞 Sunny 
Basil,Kitchen,7/8/2026,2,🌤️High,☁️ Cloudy
Peace Lily,Bedroom,10/8/2026,5,🌥️ Low,🌞 Sunny 
Mint,Kitchen,12/8/2026,2,⛅ Medium,☁️ Cloudy
Monstera,Living room,15/8/2026,7,⛅ Medium,☁️ Cloudy
Cactus,Balcony,18/8/2026,14,🌤️High,🌞 Sunny 
Spider Plant,Bedroom,20/8/2026,5,⛅ Medium,🌞 Sunny 
Lavender,Balcony,22/8/2026,4,🌤️High,☁️ Cloudy
Rubber,Office,9/1/2026,14,🌤️High,🌞 Sunny 
ZZ,Office,9/9/2026,14,⛅ Medium,☁️ Cloudy
