Plant Name,Activity,Date,Height,Photo
Snake Plant,Watering,5/9/2026,10,snake.jpg,
Cactus,Watering,5/9/2026,13,cactus.jpg,
Snake,Watering,9/21/2026,16,snake.jpg,
Aloe Vera,Watering,10/9/2026,8,aloe.jpg,
Monstera,Cleaning,12/9/2026,9,monstera.jpg,
Peace Lily,Watering,15/9/2026,20,peace_lily.jpg,
Spider Plant,Watering,16/9/2026,10,spider.jpg,
Lavender,Repotting,17/9/2026,12,lavender.jpg,
Rose,Watering,18/9/2026,5,rose.jpg,
Basil,Pruning,19/9/2026,8,basil.jpg,
Mint,Cleaning,19/9/2026,5,mint.jpg
